11/25/2023 7:44:08 PM  Counts:54060
1420.342468750  0.094949941
1420.349500000  0.095060405
1420.356531250  0.094922302
1420.363562500  0.095143151
1420.370593750  0.094883520
1420.377625000  0.095189046
1420.384656250  0.095234693
1420.391687500  0.095143479
1420.398718750  0.095257657
1420.405750000  0.094987425
1420.412781250  0.095631907
1420.419812500  0.095558847
1420.426843750  0.095028205
1420.433875000  0.095267976
1420.440906250  0.094791143
1420.447937500  0.095409669
1420.454968750  0.095049239
1420.462000000  0.094909601
1420.469031250  0.094494046
1420.476062500  0.094848972
1420.483093750  0.094301073
1420.490125000  0.094191371
1420.497156250  0.094179313
1420.504187500  0.093713053
1420.511218750  0.093707256
1420.518250000  0.093693662
1420.525281250  0.093335225
1420.532312500  0.092865685
1420.539343750  0.092571004
1420.546375000  0.092520785
1420.553406250  0.092310921
1420.560437500  0.092033909
1420.567468750  0.091988528
1420.574500000  0.091179535
1420.581531250  0.091226288
1420.588562500  0.090599741
1420.595593750  0.090503249
1420.602625000  0.090112583
1420.609656250  0.090427254
1420.616687500  0.090052762
1420.623718750  0.089987391
1420.630750000  0.089473605
1420.637781250  0.089643495
1420.644812500  0.089452374
1420.651843750  0.089664100
1420.658875000  0.088883779
1420.665906250  0.088873466
1420.672937500  0.088924678
1420.679968750  0.089237215
1420.687000000  0.088972752
1420.694031250  0.088725924
1420.701062500  0.088510777
1420.708093750  0.089021560
1420.715125000  0.088834413
1420.722156250  0.088910661
1420.729187500  0.088874764
1420.736218750  0.089125803
1420.743250000  0.089358704
1420.750281250  0.088994813
1420.757312500  0.089661565
1420.764343750  0.089544169
1420.771375000  0.089928998
1420.778406250  0.089557898
1420.785437500  0.090071803
1420.792468750  0.090256218
1420.799500000  0.090833370
1420.806531250  0.090933159
1420.813562500  0.091367947
1420.820593750  0.091415237
1420.827625000  0.091782661
1420.834656250  0.092161252
1420.841687500  0.092480095
1420.848718750  0.092670296
1420.855750000  0.093100280
1420.862781250  0.093432135
1420.869812500  0.093558941
1420.876843750  0.094233879
1420.883875000  0.094600586
1420.890906250  0.094581692
1420.897937500  0.094795682
1420.904968750  0.095634221
1420.912000000  0.095378869
1420.919031250  0.095739751
1420.926062500  0.096052650
1420.933093750  0.096574960
1420.940125000  0.096227784
1420.947156250  0.096814517
1420.954187500  0.096818920
1420.961218750  0.096920589
1420.968250000  0.096770484
1420.975281250  0.097136797
1420.982312500  0.096777236
1420.989343750  0.096657390
1420.996375000  0.096882540
1421.003406250  0.096554999
1421.010437500  0.096667641
1421.017468750  0.096127504
1421.024500000  0.096089817
1421.031531250  0.096047840
1421.038562500  0.095469304
1421.045593750  0.094794395
1421.052625000  0.094353714
1421.059656250  0.093379940
1421.066687500  0.093184353
1421.073718750  0.092622425
1421.080750000  0.091737212
1421.087781250  0.090883211
1421.094812500  0.090275823
1421.101843750  0.089501046
1421.108875000  0.088574104
1421.115906250  0.087726872
1421.122937500  0.086799275
1421.129968750  0.085409528
1421.137000000  0.084133514
1421.144031250  0.083300699
1421.151062500  0.082004267
1421.158093750  0.081228694
1421.165125000  0.079712186
1421.172156250  0.079017055
1421.179187500  0.077216451
1421.186218750  0.075734169
1421.193250000  0.074721291
1421.200281250  0.073395724
1421.207312500  0.071941764
1421.214343750  0.070605054
1421.221375000  0.069597426
1421.228406250  0.068458493
1421.235437500  0.067460067
1421.242468750  0.066324825
1421.249500000  0.065310446
1421.256531250  0.063984139
1421.263562500  0.063279858
1421.270593750  0.062529970
1421.277625000  0.061840960
1421.284656250  0.060852836
1421.291687500  0.060451648
1421.298718750  0.059779335

